,source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
4533,Student17,if5lft9w7d52yt,directed,post_graph,2,0,0,0,2,Student
4536,Student8,if5o4gpxbfy29c,directed,post_graph,2,0,0,0,2,Student
4538,Student34,if5o4gpxbfy29c,directed,post_graph,2,0,0,0,2,Student
4581,Student71,if72326t5zs3l8,directed,post_graph,2,0,0,0,2,Student
4583,Student13,if72326t5zs3l8,directed,post_graph,2,0,0,0,2,Student
4643,Student83,if8ps624elf3z4,directed,post_graph,2,0,0,0,2,Student
4645,Student33,if8ps624elf3z4,directed,post_graph,2,0,0,0,2,Student
4717,Student53,ifasbdrvyte3dr,directed,post_graph,2,0,0,1,3,Student
4807,Student10,ifh8qaf3e5h600,directed,post_graph,2,0,0,0,2,Student
4047,Student22,ieuce3knaw32cf,directed,post_graph,2,12,0,0,14,Student
2606,Student81,idvpemtlzp98a,directed,post_graph,2,2,0,0,4,Student
2874,Student48,idyl8ts9plq6a1,directed,post_graph,2,2,0,0,4,Student
3921,Student81,ieoag3vb1seot,directed,post_graph,2,2,0,0,4,Student
4315,Student73,if1ociqoea53oj,directed,post_graph,2,2,0,0,4,Student
3730,Student79,ieg8px3hcs73vl,directed,post_graph,2,22,0,0,24,Student
4113,Student68,ievnkt7vskv1tb,directed,post_graph,2,26,0,0,28,Student
761,Student13,idqx3sp1f633ou,directed,post_graph,2,27,0,0,29,Student
265,Student81,idgsad8pyns56d,directed,post_graph,2,3,0,0,5,Student
2873,Student64,idykmwb0p6ik2,directed,post_graph,2,3,0,0,5,Student
3168,Student58,ie4de9b4ums6k1,directed,post_graph,2,3,0,0,5,Student
3872,Student1,ieleurks29v3mp,directed,post_graph,2,3,0,0,5,Student
393,Student43,idkapykv8ke43s,directed,post_graph,2,32,0,0,34,Student
4535,Student43,if5o4gpxbfy29c,directed,post_graph,2,38,0,0,40,Student
4298,Student44,if12pinnjnf2o2,directed,post_graph,2,39,0,0,41,Student
2875,Student16,idynjxqw7ye5ob,directed,post_graph,2,4,0,0,6,Student
4028,Student24,ietagf3vinh1ey,directed,post_graph,2,4,0,0,6,Student
4127,Student45,iew2s32mnfosn,directed,post_graph,2,4,0,0,6,Student
4022,Student6,iet22l05ucp2b3,directed,post_graph,2,41,0,0,43,Student
4293,Student71,if0j2y6hz669y,directed,post_graph,2,43,0,0,45,Student
3301,Student63,ie65kwix6s5567,directed,post_graph,2,45,0,0,47,Student
3389,Student56,ie81jj5p3lt2lx,directed,post_graph,2,46,0,0,48,Student
3720,Student44,ieg6y8vtmmr1tt,directed,post_graph,2,47,0,0,49,Student
564,Student60,idn7sh3fc231yc,directed,post_graph,2,48,0,0,50,Student
4248,Student24,iezqt4r7v2u233,directed,post_graph,2,48,0,0,50,Student
1874,Student3,idszoazg6kw64,directed,post_graph,2,5,0,0,7,Student
4722,Student99,ifbde1po8et3nf,directed,post_graph,2,5,0,0,7,Student
3179,Student72,ie4p4850pox3zm,directed,post_graph,2,51,0,0,53,Student
3377,Student99,ie7rj51ijcf1po,directed,post_graph,2,55,0,0,57,Student
3895,Student43,iemurkdajhr4p6,directed,post_graph,2,57,0,0,59,Student
756,Student13,idqwx4zbh2h3y7,directed,post_graph,2,60,0,0,62,Student
2942,Student55,idz0rhozumh4sk,directed,post_graph,2,60,0,0,62,Student
3418,Student34,iea8ciojd3y5td,directed,post_graph,2,63,0,0,65,Student
2381,Student34,idu4m1sjvp21aq,directed,post_graph,2,66,0,0,68,Student
3294,Student55,ie5w0dj0fmm106,directed,post_graph,2,67,0,0,69,Student
2664,Student60,idx9pa3lnw326m,directed,post_graph,2,68,0,0,70,Student
766,Student34,idrabjc8ewx56d,directed,post_graph,2,72,0,0,74,Student
275,Student80,idgudhlbvnu4h3,directed,post_graph,2,78,0,0,80,Student
312,Student24,idhejp6ddjw78b,directed,post_graph,2,82,0,0,84,Student
8,Student59,idf9ojdm3ty40e,directed,post_graph,3,0,0,0,3,Student
10,Student13,idf9ojdm3ty40e,directed,post_graph,3,0,0,0,3,Student
229,Student51,idgcq5z4benkd,directed,post_graph,3,0,0,0,3,Student
261,Student11,idgrodful3h7bm,directed,post_graph,3,0,0,0,3,Student
263,Student17,idgrodful3h7bm,directed,post_graph,3,0,0,0,3,Student
363,Student51,idj4r74e4w64kw,directed,post_graph,3,0,0,0,3,Student
365,Student13,idj4r74e4w64kw,directed,post_graph,3,0,0,0,3,Student
367,Student33,idj4r74e4w64kw,directed,post_graph,3,0,0,0,3,Student
531,Student6,idmgzghk6wx6lf,directed,post_graph,3,0,0,0,3,Student
533,Student8,idmgzghk6wx6lf,directed,post_graph,3,0,0,0,3,Student
558,Student11,idn3gwb5dal2h2,directed,post_graph,3,0,0,0,3,Student
562,Student13,idn3gwb5dal2h2,directed,post_graph,3,0,0,0,3,Student
729,Student35,idqosaydmvzc0,directed,post_graph,3,0,0,0,3,Student
731,Student8,idqosaydmvzc0,directed,post_graph,3,0,0,0,3,Student
733,Student55,idqosaydmvzc0,directed,post_graph,3,0,0,0,3,Student
1400,Student48,ids5c0kaz7i42w,directed,post_graph,3,0,0,0,3,Student
1404,Student48,ids5c0kaz7i42w,directed,post_graph,3,0,0,0,3,Student
1633,Student84,ids7h53xv773q0,directed,post_graph,3,0,0,0,3,Student
2857,Student80,idy4vnns5n55ad,directed,post_graph,3,0,0,0,3,Student
2859,Student79,idy4vnns5n55ad,directed,post_graph,3,0,0,0,3,Student
2861,Student29,idy4vnns5n55ad,directed,post_graph,3,0,0,0,3,Student
2867,Student81,idyi6lncyoyrb,directed,post_graph,3,0,0,0,3,Student
2871,Student80,idyi6lncyoyrb,directed,post_graph,3,0,0,0,3,Student
2948,Student83,idz306xtzab1t2,directed,post_graph,3,0,0,0,3,Student
2950,Student71,idz306xtzab1t2,directed,post_graph,3,0,0,0,3,Student
2952,Student55,idz306xtzab1t2,directed,post_graph,3,0,0,0,3,Student
3724,Student42,ieg8ax7ke4h1tp,directed,post_graph,3,0,0,0,3,Student
3728,Student8,ieg8ax7ke4h1tp,directed,post_graph,3,0,0,0,3,Student
3814,Student100,ieisi296r7c3a4,directed,post_graph,3,0,0,0,3,Student
3816,Student8,ieisi296r7c3a4,directed,post_graph,3,0,0,0,3,Student
3818,Student68,ieisi296r7c3a4,directed,post_graph,3,0,0,0,3,Student
4041,Student88,ieu8dep853h3s1,directed,post_graph,3,0,0,0,3,Student
4043,Student1,ieu8dep853h3s1,directed,post_graph,3,0,0,0,3,Student
4045,Student21,ieu8dep853h3s1,directed,post_graph,3,0,0,0,3,Student
4187,Student3,iexzn9sf9hx4bi,directed,post_graph,3,0,0,0,3,Student
4189,Student11,iexzn9sf9hx4bi,directed,post_graph,3,0,0,0,3,Student
4191,Student13,iexzn9sf9hx4bi,directed,post_graph,3,0,0,0,3,Student
4194,Student6,ieygj084ncc3s0,directed,post_graph,3,0,0,0,3,Student
4198,Student6,ieygj084ncc3s0,directed,post_graph,3,0,0,0,3,Student
4216,Student71,ieyyg4h9f823px,directed,post_graph,3,0,0,0,3,Student
4218,Student3,ieyyg4h9f823px,directed,post_graph,3,0,0,0,3,Student
