id,Source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights
769,Student46,idrabjc8ewx56d,directed,post_graph,2,0,0,0,2
770,Student46,Student34,directed,user_graph,2,0,0,0,2
1095,Student34,idrghu2l8x45bo,directed,post_graph,2,0,0,0,2
1096,Student34,Teacher2,directed,user_graph,2,0,0,0,2
1097,Teacher2,idrghu2l8x45bo,directed,post_graph,2,0,0,0,2
1098,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
2188,Student100,idtuzkucylm1vc,directed,post_graph,2,0,0,0,2
2189,Student100,Teacher7,directed,user_graph,2,0,0,0,2
2190,Teacher7,idtuzkucylm1vc,directed,post_graph,2,0,0,0,2
2191,Teacher7,Teacher7,directed,user_graph,2,0,0,0,2
2382,Student71,idu4m1sjvp21aq,directed,post_graph,2,0,0,0,2
2383,Student71,Student34,directed,user_graph,2,0,0,0,2
2384,Student33,idu4m1sjvp21aq,directed,post_graph,2,0,0,0,2
2385,Student33,Student34,directed,user_graph,2,0,0,0,2
2643,Student32,idwfbm8fppd2fe,directed,post_graph,2,0,0,0,2
2645,Student46,idwfbm8fppd2fe,directed,post_graph,2,0,0,0,2
2655,Student65,idx6e1tkxvz15h,directed,post_graph,2,0,0,0,2
2657,Student55,idx6e1tkxvz15h,directed,post_graph,2,0,0,0,2
2660,Student76,idx8vw8bt1055w,directed,post_graph,2,0,0,0,2
2662,Student50,idx8vw8bt1055w,directed,post_graph,2,0,0,0,2
2665,Student88,idx9pa3lnw326m,directed,post_graph,2,0,0,0,2
2666,Student88,Student60,directed,user_graph,2,0,0,0,2
2667,Student100,idx9pa3lnw326m,directed,post_graph,2,0,0,0,2
2668,Student100,Student60,directed,user_graph,2,0,0,0,2
2717,idfybvjfkFB,idxdehe0wcq7f8,directed,post_graph,2,0,0,0,2
2718,idfybvjfkFB,Teacher1,directed,user_graph,2,0,0,0,2
2719,Teacher1,idxdehe0wcq7f8,directed,post_graph,2,0,0,0,2
2720,Teacher1,Teacher1,directed,user_graph,2,0,0,0,2
2849,Student11,idxpxnq5j8u5pg,directed,post_graph,2,0,0,0,2
2851,Student40,idxpxnq5j8u5pg,directed,post_graph,2,0,0,0,2
2914,Student6,idyvneq5hay4cp,directed,post_graph,2,0,0,0,2
2916,Student84,idyvneq5hay4cp,directed,post_graph,2,0,0,0,2
2943,Student55,idz0rhozumh4sk,directed,post_graph,2,0,0,0,2
2944,Student55,Student55,directed,user_graph,2,0,0,0,2
2945,Student74,idz0rhozumh4sk,directed,post_graph,2,0,0,0,2
2946,Student74,Student55,directed,user_graph,2,0,0,0,2
3180,Student33,ie4p4850pox3zm,directed,post_graph,2,0,0,0,2
3181,Student33,Student72,directed,user_graph,2,0,0,0,2
3182,Student38,ie4p4850pox3zm,directed,post_graph,2,0,0,0,2
3183,Student38,Student72,directed,user_graph,2,0,0,0,2
3295,Student22,ie5w0dj0fmm106,directed,post_graph,2,0,0,0,2
3296,Student22,Student55,directed,user_graph,2,0,0,0,2
3297,Student73,ie5w0dj0fmm106,directed,post_graph,2,0,0,0,2
3298,Student73,Student55,directed,user_graph,2,0,0,0,2
3302,Student40,ie65kwix6s5567,directed,post_graph,2,0,0,0,2
