,uid,asks,answers,posts,views,days,type,Student ID,Assignment 1 [40],Assignment 2 [40],Project 1 [100],Assignment 3 [40],Assignment 4 [40],Project 2 [100],Assignment 5 [40],Assignment 6 [40],Project 3 [100],final_grade,Peer Feedback [15],Course Grade,grade_bucket,id,label,user_type,type_data
170,User338,1,2,7,299,29,student,,,,,,,,,,,,,,,User338,User338,User,user_graph
171,User102,20,9,111,532,140,student,User102,19,0,79,38,0,86,0,38,77,100,10,68.24,b,User102,User102,User,user_graph
175,User245,0,1,18,609,45,student,User245,38,0,86,27,0,76,0,30,67,94,14,65.95,b,User245,User245,User,user_graph
176,User307,3,3,49,630,97,student,User307,0,31,73,0,30,45,0,33,52,97,10,56.64,c,User307,User307,User,user_graph
177,User286,2,0,18,223,96,student,User286,38,0,70,29,0,69,0,39,57,97,15,63.2,b,User286,User286,User,user_graph
179,User69,1,0,19,444,78,student,User69,31,0,77,31,0,37,0,29,71,100,15,59.69,c,User69,User69,User,user_graph
181,User292,1,6,45,338,105,student,User292,34,0,79,40,0,83,0,34,94,100,15,73.12,a,User292,User292,User,user_graph
182,User15,5,3,74,607,133,student,User15,0,25,90,0,32,98,31,0,85,96,15,72.06,a,User15,User15,User,user_graph
183,User264,2,5,30,639,142,student,User264,0,40,76,35,0,64,31,0,57,96,13,62.9,b,User264,User264,User,user_graph
185,User122,2,0,33,449,103,student,User122,26,0,80,0,32,81,30,0,76,90,15,65.64,b,User122,User122,User,user_graph
186,User143,0,0,27,585,104,student,User143,0,38,80,38,0,81,0,32,62,94,16,67.32,b,User143,User143,User,user_graph
187,User50,4,2,27,426,123,student,User50,38,0,86,27,0,89,31,0,86,97,15,71.6,a,User50,User50,User,user_graph
188,User124,2,0,8,41,36,student,,,,,,,,,,,,,,,User124,User124,User,user_graph
189,User331,7,4,23,625,108,student,User331,33,0,74,24,0,59,34,0,63,97,15,60.91,b,User331,User331,User,user_graph
190,User178,5,1,29,558,107,student,User178,0,37,77,34,0,61,0,37,83,100,14,67.63,b,User178,User178,User,user_graph
193,User96,2,0,39,537,59,student,User96,0,21,75,0,31,77,0,32,45,89,13,58.47,c,User96,User96,User,user_graph
194,User46,1,0,2,54,16,student,User46,0,32,28,0,38,19,0,37,0,0,14,25.64,d,User46,User46,User,user_graph
198,User224,0,0,64,352,100,student,User224,0,33,78,0,28,89,0,36,93,100,15,72.06,a,User224,User224,User,user_graph
199,User38,6,0,30,153,68,student,User38,34,0,75,22,0,62,26,0,44,85,13,55.11,c,User38,User38,User,user_graph
201,User203,0,0,12,245,53,student,User203,28,0,77,0,36,86,0,31,77,96,15,68.09,b,User203,User203,User,user_graph
