id,name,asks,answers,posts,views,days,type,Personal Statement [2],Assignment 1 [2],Assignment 2 [2],Mini-Proposal [2],Personal Question [2],Proposal -- First Draft [2],Proposal -- Final Draft [2],Progress Report [1],Trailer [2],Final Project [2],Project Paper [2],Project Presentation [2],Final Grade [23],grade_bucket,id,label,user_type,type_data
Student75,Student75,1,4,31,79,37,student,1,1,2,2,1,2,2,1,1,2,1,1,0.739130435,c,Student75,Student75,Student,user_graph
Student15,Student15,0,0,14,54,28,student,1,1,2,1,1,1,1,0,1,1,1,1,0.52173913,d,Student15,Student15,Student,user_graph
Student64,Student64,2,1,31,321,50,student,1,1,1,1,2,1,1,1,1,2,2,2,0.695652174,d,Student64,Student64,Student,user_graph
Student65,Student65,3,4,112,246,70,student,2,1,2,1,1,2,2,1,2,,,,0.608695652,d,Student65,Student65,Student,user_graph
Student9,Student9,3,0,111,177,40,student,2,1,2,2,2,2,2,1,2,2,2,2,0.956521739,a,,,,
Student2,Student2,1,0,44,340,56,student,1,2,2,1,1,1,1,1,1,2,1,2,0.695652174,d,,,,
Student70,Student70,0,0,8,42,12,student,1,1,1,1,1,2,2,1,1,2,2,2,0.739130435,c,,,,
Misc4,,0,0,18,146,49,student,,,,,,,,,,,,,,,,,,
Student52,Student52,0,0,27,331,53,student,1,1,1,1,1,1,2,1,2,1,1,1,0.608695652,d,,,,
Student37,Student37,0,0,13,59,19,student,1,1,1,1,1,1,1,1,1,1,1,2,0.565217391,d,,,,
Student40,Student40,6,1,48,265,37,student,1,1,1,1,1,1,1,1,1,1,0,1,0.47826087,d,Student40,Student40,Student,user_graph
Student3,Student3,2,0,78,139,40,student,1,1,2,1,1,1,1,1,1,1,2,2,0.652173913,d,Student3,Student3,Student,user_graph
Student66,Student66,0,0,22,101,53,student,1,2,2,1,2,2,2,1,2,2,1,2,0.869565217,b,,,,
Student87,Student87,1,0,37,338,57,student,2,1,1,1,1,1,2,1,1,1,1,1,0.608695652,d,,,,
Student43,Student43,0,0,64,342,51,student,1,1,2,1,1,1,2,1,1,1,2,1,0.652173913,d,Student43,Student43,Student,user_graph
Student35,Student35,0,0,65,342,72,student,1,2,2,2,2,2,2,1,1,2,2,1,0.869565217,b,Student35,Student35,Student,user_graph
Student11,Student11,0,0,106,344,70,student,1,1,1,1,2,2,2,1,1,,,,0.52173913,d,,,,
Student16,Student16,2,0,32,100,57,student,1,1,1,1,1,1,1,1,2,,,,0.434782609,d,Student16,Student16,Student,user_graph
Misc5,,0,0,0,18,66,student,,,,,,,,,,,,,,,,,,
Student97,Student97,1,0,14,92,53,student,1,2,1,1,1,1,2,1,1,1,1,1,0.608695652,d,Student97,Student97,Student,user_graph
Student99,Student99,1,0,30,339,52,student,1,1,1,1,1,1,1,1,1,1,2,1,0.565217391,d,Student99,Student99,Student,user_graph
Student10,Student10,3,0,71,305,67,student,2,2,2,2,2,2,2,1,1,2,2,2,0.956521739,a,Student10,Student10,Student,user_graph
Student32,Student32,0,3,86,293,69,student,1,1,1,1,1,2,2,1,2,,,,0.52173913,d,Student32,Student32,Student,user_graph
Teacher6,,0,2,235,112,49,teacher,,,,,,,,,,,,,,,Teacher6,Teacher6,Teacher,user_graph
Student53,Student53,0,1,31,210,68,student,1,1,2,1,2,2,2,1,1,2,2,2,0.826086957,b,Student53,Student53,Student,user_graph
Student94,Student94,0,1,10,33,46,student,1,2,2,2,1,1,1,,2,,2,,0.608695652,d,,,,
Student21,Student21,1,1,27,317,64,student,1,1,1,1,1,2,2,2,2,2,2,2,0.826086957,b,Student21,Student21,Student,user_graph
Guest10,,0,0,11,135,61,guest,,,,,,,,,,,,,,,,,,
Student54,Student54,2,0,77,342,57,student,1,2,1,1,1,2,2,1,2,,,,0.565217391,d,Student54,Student54,Student,user_graph
