source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights
Student84,idyvneq5hay4cp,directed,post_graph,2,0,0,0,2
Student55,idz0rhozumh4sk,directed,post_graph,2,0,0,0,2
Student55,Student55,directed,user_graph,2,0,0,0,2
Student74,idz0rhozumh4sk,directed,post_graph,2,0,0,0,2
Student74,Student55,directed,user_graph,2,0,0,0,2
Student33,ie4p4850pox3zm,directed,post_graph,2,0,0,0,2
Student33,Student72,directed,user_graph,2,0,0,0,2
Student38,ie4p4850pox3zm,directed,post_graph,2,0,0,0,2
Student38,Student72,directed,user_graph,2,0,0,0,2
Student22,ie5w0dj0fmm106,directed,post_graph,2,0,0,0,2
Student22,Student55,directed,user_graph,2,0,0,0,2
Student73,ie5w0dj0fmm106,directed,post_graph,2,0,0,0,2
Student73,Student55,directed,user_graph,2,0,0,0,2
Student40,ie65kwix6s5567,directed,post_graph,2,0,0,0,2
Student40,Student63,directed,user_graph,2,0,0,0,2
Student33,ie65kwix6s5567,directed,post_graph,2,0,0,0,2
Student33,Student63,directed,user_graph,2,0,0,0,2
Student54,ie68liryebtsr,directed,post_graph,2,0,0,0,2
Student65,ie68liryebtsr,directed,post_graph,2,0,0,0,2
Student22,ie765ycdicl48u,directed,post_graph,2,0,0,0,2
Student44,ie765ycdicl48u,directed,post_graph,2,0,0,0,2
Student26,ie7dgu0wctf77j,directed,post_graph,2,0,0,0,2
Student55,ie7dgu0wctf77j,directed,post_graph,2,0,0,0,2
Student40,ie7rj51ijcf1po,directed,post_graph,2,0,0,0,2
Student40,Student99,directed,user_graph,2,0,0,0,2
Student32,ie7rj51ijcf1po,directed,post_graph,2,0,0,0,2
Student32,Student99,directed,user_graph,2,0,0,0,2
Student51,ie7tpjjxrx168o,directed,post_graph,2,0,0,0,2
idfybvjfkFB,ie7tpjjxrx168o,directed,post_graph,2,0,0,0,2
Student56,ie81jj5p3lt2lx,directed,post_graph,2,0,0,0,2
Student56,Student56,directed,user_graph,2,0,0,0,2
Student55,ie81jj5p3lt2lx,directed,post_graph,2,0,0,0,2
Student55,Student56,directed,user_graph,2,0,0,0,2
Student11,ie8lfred1vi269,directed,post_graph,2,0,0,0,2
Student90,ie8lfred1vi269,directed,post_graph,2,0,0,0,2
Teacher5,iea8ciojd3y5td,directed,post_graph,2,0,0,0,2
Teacher5,Student34,directed,user_graph,2,0,0,0,2
Student91,iea8ciojd3y5td,directed,post_graph,2,0,0,0,2
Student91,Student34,directed,user_graph,2,0,0,0,2
Student22,iea99joppf46xd,directed,post_graph,2,0,0,0,2
Teacher2,iea99joppf46xd,directed,post_graph,2,0,0,0,2
Student13,ieaofqovp0m19q,directed,post_graph,2,0,0,0,2
Student54,ieaofqovp0m19q,directed,post_graph,2,0,0,0,2
Student61,iedobrvq40261v,directed,post_graph,2,0,0,0,2
Student13,iedobrvq40261v,directed,post_graph,2,0,0,0,2
Student17,ieg6y8vtmmr1tt,directed,post_graph,2,0,0,0,2
Student17,Student44,directed,user_graph,2,0,0,0,2
Student9,iek88dbsioq10l,directed,post_graph,2,0,0,0,2
Student81,iek88dbsioq10l,directed,post_graph,2,0,0,0,2
Student68,iemurkdajhr4p6,directed,post_graph,2,0,0,0,2
Student68,Student43,directed,user_graph,2,0,0,0,2
Teacher2,iemurkdajhr4p6,directed,post_graph,2,0,0,0,2
Teacher2,Student43,directed,user_graph,2,0,0,0,2
Student26,iep10gsutxi3zl,directed,post_graph,2,0,0,0,2
Student1,iep10gsutxi3zl,directed,post_graph,2,0,0,0,2
Student68,iepsh98dju31n4,directed,post_graph,2,0,0,0,2
Student66,iepsh98dju31n4,directed,post_graph,2,0,0,0,2
Student44,ieqkivmnub717y,directed,post_graph,2,0,0,0,2
Student44,Teacher7,directed,user_graph,2,0,0,0,2
Student11,ieqkivmnub717y,directed,post_graph,2,0,0,0,2
Student11,Teacher7,directed,user_graph,2,0,0,0,2
Teacher2,iet22l05ucp2b3,directed,post_graph,2,0,0,0,2
Teacher2,Student6,directed,user_graph,2,0,0,0,2
Student6,iet22l05ucp2b3,directed,post_graph,2,0,0,0,2
Student6,Student6,directed,user_graph,2,0,0,0,2
Student1,ieunamj87u04j,directed,post_graph,2,0,0,0,2
Student34,ieunamj87u04j,directed,post_graph,2,0,0,0,2
Student77,ievnkt7vskv1tb,directed,post_graph,2,0,0,0,2
Student77,Student68,directed,user_graph,2,0,0,0,2
Teacher3,ievnkt7vskv1tb,directed,post_graph,2,0,0,0,2
Teacher3,Student68,directed,user_graph,2,0,0,0,2
Student98,iexmi79vi6346u,directed,post_graph,2,0,0,0,2
Student98,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,iexmi79vi6346u,directed,post_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student70,iexmk73orb3da,directed,post_graph,2,0,0,0,2
Student70,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,iexmk73orb3da,directed,post_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student75,iexml2sk4ne6ko,directed,post_graph,2,0,0,0,2
Student75,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,iexml2sk4ne6ko,directed,post_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student14,iexmosep41522d,directed,post_graph,2,0,0,0,2
Student14,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,iexmosep41522d,directed,post_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student92,iexmp65m57v2ah,directed,post_graph,2,0,0,0,2
Student92,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,iexmp65m57v2ah,directed,post_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student63,iexmpynp28635y,directed,post_graph,2,0,0,0,2
Student63,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,iexmpynp28635y,directed,post_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student80,iexn5vherm079w,directed,post_graph,2,0,0,0,2
Student80,Teacher2,directed,user_graph,2,0,0,0,2
Student80,iexn5vherm079w,directed,post_graph,2,0,0,0,2
Student80,Teacher2,directed,user_graph,2,0,0,0,2
Student71,iezqt4r7v2u233,directed,post_graph,2,0,0,0,2
Student71,Student24,directed,user_graph,2,0,0,0,2
Student53,iezqt4r7v2u233,directed,post_graph,2,0,0,0,2
Student53,Student24,directed,user_graph,2,0,0,0,2
Student17,if0j2y6hz669y,directed,post_graph,2,0,0,0,2
Student17,Student71,directed,user_graph,2,0,0,0,2
Student13,if0j2y6hz669y,directed,post_graph,2,0,0,0,2
Student13,Student71,directed,user_graph,2,0,0,0,2
Student68,if12pinnjnf2o2,directed,post_graph,2,0,0,0,2
Student68,Student44,directed,user_graph,2,0,0,0,2
Student8,if12pinnjnf2o2,directed,post_graph,2,0,0,0,2
Student8,Student44,directed,user_graph,2,0,0,0,2
Teacher2,if32o2ctfkl2dz,directed,post_graph,2,0,0,0,2
Student50,if32o2ctfkl2dz,directed,post_graph,2,0,0,0,2
Student13,if3bcgpnuof1ol,directed,post_graph,2,0,0,0,2
Student34,if3bcgpnuof1ol,directed,post_graph,2,0,0,0,2
Student8,if5lft9w7d52yt,directed,post_graph,2,0,0,0,2
Student17,if5lft9w7d52yt,directed,post_graph,2,0,0,0,2
Student8,if5o4gpxbfy29c,directed,post_graph,2,0,0,0,2
Student8,Student43,directed,user_graph,2,0,0,0,2
Student34,if5o4gpxbfy29c,directed,post_graph,2,0,0,0,2
Student34,Student43,directed,user_graph,2,0,0,0,2
Student71,if72326t5zs3l8,directed,post_graph,2,0,0,0,2
Student71,Teacher2,directed,user_graph,2,0,0,0,2
Student13,if72326t5zs3l8,directed,post_graph,2,0,0,0,2
Student13,Teacher2,directed,user_graph,2,0,0,0,2
Student83,if8ps624elf3z4,directed,post_graph,2,0,0,0,2
Student33,if8ps624elf3z4,directed,post_graph,2,0,0,0,2
Teacher7,ifadsfzmc9u2kl,directed,post_graph,2,0,0,1,3
Teacher7,ifadsfzmc9u2kl,directed,post_graph,2,0,0,1,3
Student53,ifasbdrvyte3dr,directed,post_graph,2,0,0,1,3
Student53,Teacher7,directed,user_graph,2,0,0,1,3
Teacher7,ifasbdrvyte3dr,directed,post_graph,2,0,0,1,3
Teacher7,Teacher7,directed,user_graph,2,0,0,1,3
Teacher2,ifh8qaf3e5h600,directed,post_graph,2,0,0,0,2
Student10,ifh8qaf3e5h600,directed,post_graph,2,0,0,0,2
Teacher7,ieqkivmnub717y,directed,post_graph,2,10,0,0,12
Student22,ieuce3knaw32cf,directed,post_graph,2,12,0,0,14
Student81,idvpemtlzp98a,directed,post_graph,2,2,0,0,4
Student48,idyl8ts9plq6a1,directed,post_graph,2,2,0,0,4
Student81,ieoag3vb1seot,directed,post_graph,2,2,0,0,4
Teacher2,iexmi79vi6346u,directed,post_graph,2,2,0,0,4
Teacher2,iexmk73orb3da,directed,post_graph,2,2,0,0,4
Teacher2,iexml2sk4ne6ko,directed,post_graph,2,2,0,0,4
Teacher2,iexmosep41522d,directed,post_graph,2,2,0,0,4
Teacher2,iexmp65m57v2ah,directed,post_graph,2,2,0,0,4
Teacher2,iexmpynp28635y,directed,post_graph,2,2,0,0,4
Teacher2,iexn5vherm079w,directed,post_graph,2,2,0,0,4
Student73,if1ociqoea53oj,directed,post_graph,2,2,0,0,4
Student79,ieg8px3hcs73vl,directed,post_graph,2,22,0,0,24
Student68,ievnkt7vskv1tb,directed,post_graph,2,26,0,0,28
Student13,idqx3sp1f633ou,directed,post_graph,2,27,0,0,29
Student81,idgsad8pyns56d,directed,post_graph,2,3,0,0,5
Student64,idykmwb0p6ik2,directed,post_graph,2,3,0,0,5
Student58,ie4de9b4ums6k1,directed,post_graph,2,3,0,0,5
Student1,ieleurks29v3mp,directed,post_graph,2,3,0,0,5
Student43,idkapykv8ke43s,directed,post_graph,2,32,0,0,34
Student43,if5o4gpxbfy29c,directed,post_graph,2,38,0,0,40
Student44,if12pinnjnf2o2,directed,post_graph,2,39,0,0,41
Student16,idynjxqw7ye5ob,directed,post_graph,2,4,0,0,6
Misc3,iet43d0r88amk,directed,post_graph,2,4,0,0,6
Student24,ietagf3vinh1ey,directed,post_graph,2,4,0,0,6
Student45,iew2s32mnfosn,directed,post_graph,2,4,0,0,6
Student6,iet22l05ucp2b3,directed,post_graph,2,41,0,0,43
Student71,if0j2y6hz669y,directed,post_graph,2,43,0,0,45
Student63,ie65kwix6s5567,directed,post_graph,2,45,0,0,47
Student56,ie81jj5p3lt2lx,directed,post_graph,2,46,0,0,48
Student44,ieg6y8vtmmr1tt,directed,post_graph,2,47,0,0,49
Student60,idn7sh3fc231yc,directed,post_graph,2,48,0,0,50
Student24,iezqt4r7v2u233,directed,post_graph,2,48,0,0,50
Student3,idszoazg6kw64,directed,post_graph,2,5,0,0,7
Teacher7,idtuzkucylm1vc,directed,post_graph,2,5,0,0,7
Teacher1,idxdehe0wcq7f8,directed,post_graph,2,5,0,0,7
Student99,ifbde1po8et3nf,directed,post_graph,2,5,0,0,7
Student72,ie4p4850pox3zm,directed,post_graph,2,51,0,0,53
Teacher2,if72326t5zs3l8,directed,post_graph,2,53,0,0,55
Student99,ie7rj51ijcf1po,directed,post_graph,2,55,0,0,57
Student43,iemurkdajhr4p6,directed,post_graph,2,57,0,0,59
Student13,idqwx4zbh2h3y7,directed,post_graph,2,60,0,0,62
Student55,idz0rhozumh4sk,directed,post_graph,2,60,0,0,62
Student34,iea8ciojd3y5td,directed,post_graph,2,63,0,0,65
Student34,idu4m1sjvp21aq,directed,post_graph,2,66,0,0,68
Student55,ie5w0dj0fmm106,directed,post_graph,2,67,0,0,69
Student60,idx9pa3lnw326m,directed,post_graph,2,68,0,0,70
Teacher7,ifasbdrvyte3dr,directed,post_graph,2,7,0,0,9
Student34,idrabjc8ewx56d,directed,post_graph,2,72,0,0,74
Student80,idgudhlbvnu4h3,directed,post_graph,2,78,0,0,80
Teacher2,idrghu2l8x45bo,directed,post_graph,2,78,0,0,80
Student24,idhejp6ddjw78b,directed,post_graph,2,82,0,0,84
hvafvjd4lOd,idf9ojdm3ty40e,directed,post_graph,3,0,0,0,3
Student59,idf9ojdm3ty40e,directed,post_graph,3,0,0,0,3
Student13,idf9ojdm3ty40e,directed,post_graph,3,0,0,0,3
Teacher5,idgcq5z4benkd,directed,post_graph,3,0,0,0,3
Teacher5,Teacher2,directed,user_graph,3,0,0,0,3
Student51,idgcq5z4benkd,directed,post_graph,3,0,0,0,3
Student51,Teacher2,directed,user_graph,3,0,0,0,3
Teacher2,idgcq5z4benkd,directed,post_graph,3,0,0,0,3
Teacher2,Teacher2,directed,user_graph,3,0,0,0,3
Teacher2,idgrodful3h7bm,directed,post_graph,3,0,0,0,3
Teacher2,Student51,directed,user_graph,3,0,0,0,3
Student11,idgrodful3h7bm,directed,post_graph,3,0,0,0,3
Student11,Student51,directed,user_graph,3,0,0,0,3
Student17,idgrodful3h7bm,directed,post_graph,3,0,0,0,3
Student17,Student51,directed,user_graph,3,0,0,0,3
Student51,idj4r74e4w64kw,directed,post_graph,3,0,0,0,3
Student51,Student34,directed,user_graph,3,0,0,0,3
Student13,idj4r74e4w64kw,directed,post_graph,3,0,0,0,3
Student13,Student34,directed,user_graph,3,0,0,0,3
Student33,idj4r74e4w64kw,directed,post_graph,3,0,0,0,3
Student33,Student34,directed,user_graph,3,0,0,0,3
Teacher2,idmgzghk6wx6lf,directed,post_graph,3,0,0,0,3
Student6,idmgzghk6wx6lf,directed,post_graph,3,0,0,0,3
Student8,idmgzghk6wx6lf,directed,post_graph,3,0,0,0,3
Student11,idn3gwb5dal2h2,directed,post_graph,3,0,0,0,3
Teacher6,idn3gwb5dal2h2,directed,post_graph,3,0,0,0,3
Student13,idn3gwb5dal2h2,directed,post_graph,3,0,0,0,3
Student35,idqosaydmvzc0,directed,post_graph,3,0,0,0,3
Student8,idqosaydmvzc0,directed,post_graph,3,0,0,0,3
Student55,idqosaydmvzc0,directed,post_graph,3,0,0,0,3
Student48,ids5c0kaz7i42w,directed,post_graph,3,0,0,0,3
Teacher3,ids5c0kaz7i42w,directed,post_graph,3,0,0,0,3
Student48,ids5c0kaz7i42w,directed,post_graph,3,0,0,0,3
Student84,ids7h53xv773q0,directed,post_graph,3,0,0,0,3
Student84,Student84,directed,user_graph,3,0,0,0,3
Teacher7,idtv0iic19s323,directed,post_graph,3,0,0,0,3
Teacher7,Teacher7,directed,user_graph,3,0,0,0,3
Teacher7,idtv0iic19s323,directed,post_graph,3,0,0,1,4
Teacher7,Teacher7,directed,user_graph,3,0,0,1,4
Teacher7,idtv0iic19s323,directed,post_graph,3,0,0,1,4
Teacher7,Teacher7,directed,user_graph,3,0,0,1,4
Student80,idy4vnns5n55ad,directed,post_graph,3,0,0,0,3
Student80,Student56,directed,user_graph,3,0,0,0,3
Student79,idy4vnns5n55ad,directed,post_graph,3,0,0,0,3
Student79,Student56,directed,user_graph,3,0,0,0,3
Student29,idy4vnns5n55ad,directed,post_graph,3,0,0,0,3
Student29,Student56,directed,user_graph,3,0,0,0,3
Student81,idyi6lncyoyrb,directed,post_graph,3,0,0,0,3
Teacher2,idyi6lncyoyrb,directed,post_graph,3,0,0,0,3
Student80,idyi6lncyoyrb,directed,post_graph,3,0,0,0,3
Student83,idz306xtzab1t2,directed,post_graph,3,0,0,0,3
Student71,idz306xtzab1t2,directed,post_graph,3,0,0,0,3
Student55,idz306xtzab1t2,directed,post_graph,3,0,0,0,3
Student42,ieg8ax7ke4h1tp,directed,post_graph,3,0,0,0,3
Teacher2,ieg8ax7ke4h1tp,directed,post_graph,3,0,0,0,3
Student8,ieg8ax7ke4h1tp,directed,post_graph,3,0,0,0,3
Student100,ieisi296r7c3a4,directed,post_graph,3,0,0,0,3
Student8,ieisi296r7c3a4,directed,post_graph,3,0,0,0,3
Student68,ieisi296r7c3a4,directed,post_graph,3,0,0,0,3
Student88,ieu8dep853h3s1,directed,post_graph,3,0,0,0,3
Student1,ieu8dep853h3s1,directed,post_graph,3,0,0,0,3
Student21,ieu8dep853h3s1,directed,post_graph,3,0,0,0,3
Student3,iexzn9sf9hx4bi,directed,post_graph,3,0,0,0,3
Student3,Student80,directed,user_graph,3,0,0,0,3
Student11,iexzn9sf9hx4bi,directed,post_graph,3,0,0,0,3
Student11,Student80,directed,user_graph,3,0,0,0,3
Student13,iexzn9sf9hx4bi,directed,post_graph,3,0,0,0,3
Student13,Student80,directed,user_graph,3,0,0,0,3
Student6,ieygj084ncc3s0,directed,post_graph,3,0,0,0,3
Teacher2,ieygj084ncc3s0,directed,post_graph,3,0,0,0,3
Student6,ieygj084ncc3s0,directed,post_graph,3,0,0,0,3
Student71,ieyyg4h9f823px,directed,post_graph,3,0,0,0,3
Student3,ieyyg4h9f823px,directed,post_graph,3,0,0,0,3
Student34,ieyyg4h9f823px,directed,post_graph,3,0,0,0,3
Teacher1,if4k52zva1159a,directed,post_graph,3,0,0,0,3
Teacher1,Teacher1,directed,user_graph,3,0,0,0,3
Teacher1,if4k52zva1159a,directed,post_graph,3,0,0,0,3
Teacher1,Teacher1,directed,user_graph,3,0,0,0,3
Student37,if4k52zva1159a,directed,post_graph,3,0,0,0,3
Student37,Teacher1,directed,user_graph,3,0,0,0,3
Student34,if4qyx6p8xa5f3,directed,post_graph,3,0,0,0,3
Student34,Student43,directed,user_graph,3,0,0,0,3
Student71,if4qyx6p8xa5f3,directed,post_graph,3,0,0,0,3
Student71,Student43,directed,user_graph,3,0,0,0,3
Student61,if4qyx6p8xa5f3,directed,post_graph,3,0,0,0,3
Student61,Student43,directed,user_graph,3,0,0,0,3
Student100,if4t4xnbu9a1g9,directed,post_graph,3,0,0,0,3
Student8,if4t4xnbu9a1g9,directed,post_graph,3,0,0,0,3
Student3,if4t4xnbu9a1g9,directed,post_graph,3,0,0,0,3
Student17,if4uva7louq58o,directed,post_graph,3,0,0,0,3
Student17,Student17,directed,user_graph,3,0,0,0,3
Student3,if9qg755vdz6f0,directed,post_graph,3,0,0,0,3
Student95,if9qg755vdz6f0,directed,post_graph,3,0,0,0,3
Student58,if9qg755vdz6f0,directed,post_graph,3,0,0,0,3
Student14,ifh2fisdsgk3yf,directed,post_graph,3,0,0,0,3
Student14,Student24,directed,user_graph,3,0,0,0,3
Student8,ifh2fisdsgk3yf,directed,post_graph,3,0,0,0,3
Student8,Student24,directed,user_graph,3,0,0,0,3
Student33,ifh2fisdsgk3yf,directed,post_graph,3,0,0,0,3
Student33,Student24,directed,user_graph,3,0,0,0,3
Student17,if4uva7louq58o,directed,post_graph,3,2,0,0,5
Student51,idgrodful3h7bm,directed,post_graph,3,33,0,0,36
Student84,ids7h53xv773q0,directed,post_graph,3,4,0,0,7
Student36,ifgyhlj8cor4dk,directed,post_graph,3,4,0,0,7
Student80,idmhwfo7z4t6m0,directed,post_graph,3,43,0,0,46
Student24,ifh2fisdsgk3yf,directed,post_graph,3,45,0,0,48
Student44,ie18n02621q7kx,directed,post_graph,3,48,0,0,51
Student43,if4qyx6p8xa5f3,directed,post_graph,3,53,0,0,56
Student83,if0elblbtab3dh,directed,post_graph,3,55,0,0,58
Student24,if0dq239myp4py,directed,post_graph,3,56,0,0,59
Teacher7,idtv0iic19s323,directed,post_graph,3,6,0,0,9
Teacher1,if4k52zva1159a,directed,post_graph,3,6,0,0,9
Student80,iexzn9sf9hx4bi,directed,post_graph,3,62,0,0,65
Student34,idj4r74e4w64kw,directed,post_graph,3,63,0,0,66
Student79,ie0k1jfreckit,directed,post_graph,3,63,0,0,66
Student56,idy4vnns5n55ad,directed,post_graph,3,79,0,0,82
Teacher2,idgcq5z4benkd,directed,post_graph,3,83,0,0,86
Student36,idgttuabl79v2,directed,post_graph,4,0,0,0,4
Student40,idgttuabl79v2,directed,post_graph,4,0,0,0,4
Student44,idgttuabl79v2,directed,post_graph,4,0,0,0,4
Student10,idgttuabl79v2,directed,post_graph,4,0,0,0,4
Teacher2,idhfrlt04s94n9,directed,post_graph,4,0,0,0,4
Misc4,idhfrlt04s94n9,directed,post_graph,4,0,0,0,4
Student100,idhfrlt04s94n9,directed,post_graph,4,0,0,0,4
Student35,idhfrlt04s94n9,directed,post_graph,4,0,0,0,4
Teacher2,idjee7hfmql1rg,directed,post_graph,4,0,0,0,4
Student8,idjee7hfmql1rg,directed,post_graph,4,0,0,0,4
Student13,idjee7hfmql1rg,directed,post_graph,4,0,0,0,4
Student101,idjee7hfmql1rg,directed,post_graph,4,0,0,0,4
Teacher2,idjlc2ltmdi72d,directed,post_graph,4,0,0,0,4
Student59,idjlc2ltmdi72d,directed,post_graph,4,0,0,0,4
Student100,idjlc2ltmdi72d,directed,post_graph,4,0,0,0,4
Student77,idjlc2ltmdi72d,directed,post_graph,4,0,0,0,4
Teacher2,idkled9yf8c2rx,directed,post_graph,4,0,0,0,4
Student80,idkled9yf8c2rx,directed,post_graph,4,0,0,0,4
Student13,idkled9yf8c2rx,directed,post_graph,4,0,0,0,4
Student44,idkled9yf8c2rx,directed,post_graph,4,0,0,0,4
Teacher2,idko1ucj5b58j,directed,post_graph,4,0,0,0,4
Teacher2,Student60,directed,user_graph,4,0,0,0,4
Student97,idko1ucj5b58j,directed,post_graph,4,0,0,0,4
Student97,Student60,directed,user_graph,4,0,0,0,4
Student55,idko1ucj5b58j,directed,post_graph,4,0,0,0,4
Student55,Student60,directed,user_graph,4,0,0,0,4
Student5,idko1ucj5b58j,directed,post_graph,4,0,0,0,4
Student5,Student60,directed,user_graph,4,0,0,0,4
Student8,idlox93qedq5nt,directed,post_graph,4,0,0,0,4
Student8,Student24,directed,user_graph,4,0,0,0,4
Student13,idlox93qedq5nt,directed,post_graph,4,0,0,0,4
Student13,Student24,directed,user_graph,4,0,0,0,4
Teacher2,idlox93qedq5nt,directed,post_graph,4,0,0,0,4
Teacher2,Student24,directed,user_graph,4,0,0,0,4
Student46,idlox93qedq5nt,directed,post_graph,4,0,0,0,4
Student46,Student24,directed,user_graph,4,0,0,0,4
Student72,idqaeq93psy1jw,directed,post_graph,4,0,0,0,4
Student72,Teacher1,directed,user_graph,4,0,0,0,4
Student13,idqaeq93psy1jw,directed,post_graph,4,0,0,0,4
Student13,Teacher1,directed,user_graph,4,0,0,0,4
Student68,idqaeq93psy1jw,directed,post_graph,4,0,0,0,4
