,id,label,user_type,type_data
297,i9ohfk72ksz4z,,,post_graph
709,i9orkt0nucr34e,How human behavior is factored into AI ?,,post_graph
864,i9oxujcyted3fp,,,post_graph
345,i9pso7wraci2rj,Submit Assign1 by the Assign2 deadline,,post_graph
262,i9pztti7ptt7e7,,,post_graph
1176,i9q1jstjtwx14t,,,post_graph
987,i9q6l8hxoix2n,How well can an average Agent perform ?,,post_graph
740,i9qbznobsza4gp,,,post_graph
942,i9qf6gqy7py21m,Strange behavior - Project 1,,post_graph
1121,i9qp3bbowtl5o6,Github Use,,post_graph
415,i9r3b3qaysa3k7,,,post_graph
189,i9r6smzww1x1ic,The test for Intelligence,,post_graph
107,i9r70843qhm2ds,,,post_graph
981,i9rbo0k48na61n,Course Calendar,,post_graph
19,i9rcn0qhenl60m,end of lecture quizzes,,post_graph
84,i9rfre3pha7o5,Reference book for Python?,,post_graph
775,i9rfy6r9gov51e,Assignment 1 - Topic(s),,post_graph
439,i9rg6wn7xa75se,Does anyone have a link to the Handbook of Nonverbal Assessment?,,post_graph
61,i9rjew9d66q7ex,,,post_graph
480,i9rl21nvcfy4v4,At what point in the lecture progression should we really start digging into project 1?,,post_graph
937,i9rqkgmpinj7eb,,,post_graph
1116,i9s2hr9xyu578l,Project 1 - Conditional Statements,,post_graph
232,i9snejarg6p6vk,Switching Java/Python between projects?,,post_graph
996,i9sr2jmkego2kb,Solve Method Return Code,,post_graph
763,i9suyz5h6x3sx,Problem representation in the basic example B-06,,post_graph
21,i9sxc9gafwi3uy,,,post_graph
1235,i9sxgdfrb6f44x,L02 2x1 Matrices IV Solution(s),,post_graph
1229,i9sxzi5h54oq6,Feature Idea for Udacity,,post_graph
156,i9t5lq22t3s3sj,,,post_graph
911,i9t821g7fhk51j,Error on Survey,,post_graph
830,i9tb0194znq6ow,Assignment 1 - first week,,post_graph
1146,i9tdeqdqeu229y,,,post_graph
489,i9tdfbeprdd1e0,,,post_graph
780,i9te6xm8to32y8,,,post_graph
550,i9tl4858nkf2zn,Regarding to assignment 1,,post_graph
682,i9u0ql9jgjn4qx,Rise of the machines in the economist,,post_graph
1013,i9u3201hsb1l4,,,post_graph
1231,i9u48q9n41d4af,Knowledge vs Understanding,,post_graph
390,i9u5rfkxxvi40v,,,post_graph
608,i9uem1mytg071m,,,post_graph
777,i9uhza4upb71we,,,post_graph
440,i9uji0tkt772p3,,,post_graph
962,i9uqvwf7o551tx,,,post_graph
89,i9uz535ercw6ji,,,post_graph
1098,i9vdcjrn9m86ox,Did I complete the Survey?,,post_graph
1209,i9vj3g9noa55v1,,,post_graph
710,i9vkx5004733fh,Peer feedback,,post_graph
483,i9vnbtuahmp6e3,,,post_graph
899,i9w0v6g9kf17am,L5  5 Exercise: Block Problem IV Question,,post_graph
190,i9wa67fkpq2ic,Trying to sort through on approaches to Project 1,,post_graph
368,i9wow9efpz56hp,,,post_graph
812,i9wuf7uhmvm10l,,,post_graph
